Major,Male,Female,Neutral
Secondary & Continuing Educ ,1,0,0
Computer Science ,10,0,0
Computer Science ,17,0,0
Music Education ,12,38,0
Music Education ,53,67,0
Music Education ,2,7,0
Crafts ,2,7,0
Crafts ,5,3,0
Crafts ,2,10,0
Art and Design ,2,6,0
Art and Design ,4,1,0
Art and Design ,1,3,0
Art and Design ,5,4,0
Art and Design ,2,4,0
Art and Design ,4,2,0
Architecture ,1,2,0
Architecture ,99,48,0
Architecture ,22,23,0
Theatre ,31,41,0
Theatre ,7,5,0
Theatre ,0,3,0
Theatre ,0,1,0
Theatre ,3,5,0
Theatre ,12,16,0
Theatre ,14,3,0
Theatre ,19,19,0
Theatre ,6,4,0
Mathematics ,1,0,0
Mathematics ,3,1,0
Mathematics ,7,1,0
Mathematics ,13,15,0
Applied Mathematics ,7,14,0
Biology ,4,3,0
Biology ,4,1,0
Biology ,16,16,0
Biology ,9,11,0
Biology ,28,35,0
Biology ,3,1,0
Economics ,73,27,0
History ,23,22,0
Religious Studies ,0,1,0
Religious Studies ,1,1,0
Religious Studies ,0,1,0
English ,5,42,0
Rhetoric ,9,10,0
Rhetoric ,3,3,0
Classics ,0,1,0
Classics ,2,1,0
Interdisciplinary ,1,0,0
Interdisciplinary ,4,5,0
Interdisciplinary ,0,3,0
Physics ,1,1,0
Statistics ,1,3,0
Geology ,0,1,0
Geology ,1,0,0
Geology ,3,0,0
Geography ,2,2,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,1,0
Germanic Lang & Lit ,0,2,0
French ,1,4,0
French ,0,2,0
Kinesiology ,19,14,0
Kinesiology ,9,27,0
Leisure Studies ,8,13,0
Leisure Studies ,5,26,0
Leisure Studies ,0,2,0
Leisure Studies ,108,34,0
Community Health ,4,53,0
Community Health ,32,106,0
Community Health ,4,19,0
Library & Information Science ,7,32,0
Library & Information Science ,2,5,0
Library & Information Science ,1,5,0
"Agribusiness, Farm & Financial ",49,33,0
"Agribusiness, Farm & Financial ",50,17,0
"Agribusiness, Farm & Financial ",36,3,1
"Agribusiness, Farm & Financial ",97,30,1
"Intl, Resource, Consumer Econ ",67,37,0
"Intl, Resource, Consumer Econ ",7,9,0
"Intl, Resource, Consumer Econ ",1,0,0
"Intl, Resource, Consumer Econ ",30,23,0
Animal Sciences ,0,1,0
Animal Sciences ,14,9,0
Animal Sciences ,17,98,0
Animal Sciences ,11,15,0
Animal Sciences ,84,258,0
Food Science & Human Nutrition ,22,32,0
Food Science & Human Nutrition ,20,17,0
Food Science & Human Nutrition ,20,70,0
Food Science & Human Nutrition ,1,106,0
Food Science & Human Nutrition ,36,70,0
Technical Systems Management ,4,0,0
Technical Systems Management ,1,0,0
Technical Systems Management ,29,2,0
Agr & Environmental Cmc & Educ ,10,42,0
Agr & Environmental Cmc & Educ ,3,6,0
Agr & Environmental Cmc & Educ ,5,6,0
Agr & Environmental Cmc & Educ ,12,19,0
Human Development & Family St ,5,143,0
Human Development & Family St ,8,59,1
Crop Sciences ,2,0,0
Crop Sciences ,20,4,0
Crop Sciences ,28,1,0
Crop Sciences ,15,11,1
Crop Sciences ,4,8,0
Forestry ,1,0,0
Natural Resrcs & Environ Sci ,7,3,0
Natural Resrcs & Environ Sci ,2,4,0
Natural Resrcs & Environ Sci ,0,2,0
Natural Resrcs & Environ Sci ,54,19,0
Natural Resrcs & Environ Sci ,16,2,0
Natural Resrcs & Environ Sci ,10,21,0
Natural Resrcs & Environ Sci ,27,17,0
Natural Resrcs & Environ Sci ,6,6,0
Horticulture ,10,2,0
Horticulture ,34,20,0
Horticulture ,4,2,0
Finance ,567,228,1
Finance ,39,34,2
Accountancy ,42,43,0
Accountancy ,18,18,0
Accountancy ,10,9,1
Accountancy ,30,50,0
Accountancy ,26,30,0
Business Administration ,179,274,0
Business Administration ,40,58,0
Business Administration ,1,1,0
Business Administration ,40,22,0
Business Administration ,21,7,0
Business Administration ,59,25,0
Business Administration ,86,28,0
Business Administration ,2,1,0
Business Administration ,10,4,0
Business Administration ,25,16,0
Business Administration (MBA) ,44,12,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,14,0
Early Childhood Education ,1,6,0
Early Childhood Education ,0,1,0
Early Childhood Education ,1,17,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,8,0
Elementary Education ,1,2,0
Elementary Education ,1,0,0
Elementary Education ,0,1,0
Elementary Education ,0,4,0
Elementary Education ,3,2,0
Elementary Education ,3,16,0
Elementary Education ,1,57,0
Elementary Education ,6,88,0
Elementary Education ,0,1,0
Elementary Education ,2,39,0
Elementary Education ,1,15,0
Elementary Education ,0,4,0
Elementary Education ,2,53,0
Early Childhood Education ,0,2,0
Elementary Education ,4,11,0
Education ,1,0,0
Secondary & Continuing Educ ,2,3,0
Secondary & Continuing Educ ,5,2,0
Secondary & Continuing Educ ,5,6,0
Secondary & Continuing Educ ,5,2,0
Education ,0,1,0
Education ,0,1,0
Education ,1,0,0
Education ,0,1,0
Education ,0,1,0
Computer Science ,6,0,0
Computer Science ,9,1,0
Mechanical Engineering ,9,1,0
Mechanical Engineering ,5,1,0
Music Education ,19,42,0
Music Education ,62,73,0
Music Education ,1,3,0
Crafts ,3,6,0
Crafts ,2,2,0
Crafts ,2,7,0
Art and Design ,0,6,0
Art and Design ,5,1,0
Art and Design ,2,4,0
Art and Design ,7,4,0
Art and Design ,3,2,0
Art and Design ,3,3,0
Architecture ,2,0,0
Architecture ,86,62,0
Architecture ,20,19,1
Theatre ,27,39,0
Theatre ,9,8,0
Theatre ,1,3,0
Theatre ,2,1,0
Theatre ,4,5,0
Theatre ,10,16,0
Theatre ,14,4,0
Theatre ,15,17,0
Theatre ,6,4,0
Mathematics ,1,0,0
Mathematics ,4,0,0
Mathematics ,3,0,0
Mathematics ,4,1,0
Mathematics ,23,38,0
Applied Mathematics ,11,17,0
Biology ,2,2,0
Biology ,4,3,0
Biology ,18,14,0
Biology ,10,9,0
Biology ,10,11,0
Biology ,2,2,0
Biology ,6,3,0
Biology ,0,1,0
Economics ,76,26,0
Chemistry ,4,6,0
History ,36,42,0
Speech Communication ,1,0,0
Religious Studies ,1,0,0
Religious Studies ,1,0,0
Religious Studies ,1,3,0
English ,15,75,0
English ,0,1,0
Rhetoric ,23,16,0
Rhetoric ,3,1,0
Rhetoric ,5,6,0
Classics ,1,1,0
Classics ,1,3,0
Classics ,2,3,0
Interdisciplinary ,1,3,0
Interdisciplinary ,12,8,0
Interdisciplinary ,3,1,0
Interdisciplinary ,0,4,0
Physics ,2,3,0
Statistics ,1,0,0
Statistics ,0,1,0
Geology ,1,0,0
Geology ,0,1,0
Geology ,1,4,0
Geology ,4,2,0
Comparative Literature ,1,5,0
Geography ,1,0,0
Geography ,2,0,0
Germanic Lang & Lit ,2,0,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,1,2,0
French ,3,4,0
French ,0,3,0
Kinesiology ,0,2,0
Kinesiology ,16,28,0
Kinesiology ,21,9,0
Speech & Hearing Science ,0,7,0
Speech & Hearing Science ,2,19,0
Speech & Hearing Science ,1,141,0
Leisure Studies ,14,25,0
Leisure Studies ,9,31,0
Leisure Studies ,1,0,0
Leisure Studies ,129,37,1
Leisure Studies ,0,1,0
"Recreation, Sport, and Tourism ",5,0,0
Community Health ,9,78,0
Community Health ,47,147,0
Community Health ,5,27,0
Library & Information Science ,0,5,0
Library & Information Science ,1,12,0
"Agribusiness, Farm & Financial ",39,19,0
"Agribusiness, Farm & Financial ",40,12,0
"Agribusiness, Farm & Financial ",21,0,0
"Agribusiness, Farm & Financial ",58,18,1
"Intl, Resource, Consumer Econ ",44,24,0
"Intl, Resource, Consumer Econ ",4,8,0
"Intl, Resource, Consumer Econ ",20,16,0
Agr & Consumer Economics ,16,11,0
Agr & Consumer Economics ,26,16,0
Agr & Consumer Economics ,13,2,0
Agr & Consumer Economics ,41,28,0
Agr & Consumer Economics ,36,19,0
Agr & Consumer Economics ,9,8,0
Agr & Consumer Economics ,12,12,0
Agr & Consumer Economics ,1,0,0
Animal Sciences ,16,5,0
Animal Sciences ,19,98,0
Animal Sciences ,15,19,0
Animal Sciences ,92,261,1
Food Science & Human Nutrition ,17,36,0
Food Science & Human Nutrition ,13,21,0
Food Science & Human Nutrition ,24,74,0
Food Science & Human Nutrition ,4,92,0
Food Science & Human Nutrition ,34,54,0
Technical Systems Management ,0,1,0
Agr & Environmental Cmc & Educ ,9,25,0
Agr & Environmental Cmc & Educ ,0,2,0
Agr & Environmental Cmc & Educ ,2,6,0
Agr & Environmental Cmc & Educ ,8,15,0
Agr & Environmental Cmc & Educ ,5,26,0
Human Development & Family St ,8,134,0
Human Development & Family St ,12,68,0
Crop Sciences ,1,1,0
Crop Sciences ,2,0,0
Crop Sciences ,15,2,0
Crop Sciences ,23,3,0
Crop Sciences ,20,12,0
Crop Sciences ,11,9,0
Natural Resrcs & Environ Sci ,3,1,0
Natural Resrcs & Environ Sci ,2,0,0
Natural Resrcs & Environ Sci ,0,1,0
Natural Resrcs & Environ Sci ,56,24,0
Natural Resrcs & Environ Sci ,10,4,0
Natural Resrcs & Environ Sci ,12,30,0
Natural Resrcs & Environ Sci ,32,24,0
Natural Resrcs & Environ Sci ,6,6,0
Horticulture ,4,0,0
Horticulture ,40,24,0
Horticulture ,3,1,0
Business Administration (MBA) ,1,0,0
Business Administration (MBA) ,14,6,0
Finance ,37,18,0
Finance ,77,46,0
Accountancy ,60,65,0
Accountancy ,25,26,0
Accountancy ,0,1,0
Accountancy ,33,51,0
Accountancy ,30,10,0
Business Administration ,125,244,0
Business Administration ,32,44,0
Business Administration ,1,1,0
Business Administration ,21,7,0
Business Administration ,17,3,0
Business Administration ,42,17,0
Business Administration ,70,21,0
Business Administration ,1,0,0
Business Administration ,44,8,0
Business Administration (MBA) ,77,16,1
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,14,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,13,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,11,0
Elementary Education ,0,1,0
Elementary Education ,0,2,0
Elementary Education ,0,1,0
Elementary Education ,0,3,0
Elementary Education ,1,0,0
Elementary Education ,2,17,0
Elementary Education ,0,51,1
Elementary Education ,9,96,0
Elementary Education ,0,1,0
Elementary Education ,0,1,0
Elementary Education ,4,35,0
Elementary Education ,0,14,0
Elementary Education ,0,6,0
Elementary Education ,2,52,0
Elementary Education ,2,9,0
Secondary & Continuing Educ ,1,3,0
Secondary & Continuing Educ ,5,1,0
Secondary & Continuing Educ ,5,6,0
Secondary & Continuing Educ ,1,5,0
Early Childhood Education ,0,1,0
Education ,1,0,0
Education ,1,0,0
Industrial Engineering ,1,0,0
Computer Science ,2,0,0
Computer Science ,6,0,0
Bioinformatics ,2,2,0
Mechanical Engineering ,5,0,0
Mechanical Engineering ,9,2,0
Music Education ,21,39,0
Music Education ,75,78,0
Music Education ,0,5,0
Crafts ,1,3,0
Crafts ,1,1,0
Crafts ,4,13,0
Art and Design ,1,1,0
Art and Design ,1,3,0
Art and Design ,2,4,0
Art and Design ,4,4,0
Art and Design ,4,1,0
Art and Design ,5,2,0
Architecture ,5,0,0
Architecture ,94,67,0
Architecture ,30,19,0
Theatre ,12,10,0
Theatre ,0,2,0
Theatre ,2,1,0
Theatre ,3,4,0
Theatre ,4,16,0
Theatre ,6,3,0
Theatre ,11,10,0
Theatre ,0,1,0
Theatre ,3,0,0
Theatre ,3,0,0
Theatre ,1,4,0
Theatre ,14,19,0
Theatre ,6,4,0
Theatre ,17,13,0
Mathematics ,1,0,0
Mathematics ,5,0,0
Mathematics ,2,1,0
Mathematics ,23,34,0
Applied Mathematics ,7,10,0
Integrative Biology ,3,2,0
Biology ,1,1,0
Biology ,1,5,0
Biology ,11,14,0
Biology ,10,10,0
Biology ,1,2,0
Biology ,1,0,0
Biology ,0,1,0
Biology ,5,14,0
Economics ,70,21,0
Chemistry ,4,4,0
History ,43,43,0
Religious Studies ,1,0,0
Religious Studies ,0,1,0
English ,14,77,0
Rhetoric ,15,24,0
Rhetoric ,1,3,0
Rhetoric ,1,3,0
Classics ,2,1,0
Classics ,1,1,0
Classics ,4,3,0
Interdisciplinary ,0,1,0
Interdisciplinary ,13,6,0
Interdisciplinary ,2,0,0
Interdisciplinary ,0,6,0
Physics ,3,2,0
Statistics ,1,0,0
Geology ,0,2,0
Geology ,1,3,0
Geology ,2,1,0
Comparative Literature ,0,3,0
Geography ,0,1,0
Geography ,3,0,0
Germanic Lang & Lit ,5,0,0
Germanic Lang & Lit ,0,1,0
Germanic Lang & Lit ,2,1,0
French ,2,4,0
French ,1,5,0
Community Health ,12,96,0
Community Health ,48,145,0
Community Health ,3,24,0
Kinesiology ,11,29,0
Kinesiology ,23,23,0
Speech & Hearing Science ,0,2,0
Speech & Hearing Science ,2,14,0
Speech & Hearing Science ,5,177,1
Leisure Studies ,13,8,0
Leisure Studies ,6,13,0
Leisure Studies ,68,21,0
"Recreation, Sport, and Tourism ",15,15,0
"Recreation, Sport, and Tourism ",2,21,0
"Recreation, Sport, and Tourism ",70,23,1
Community Health ,1,1,0
Library & Information Science ,0,2,0
Library & Information Science ,2,13,0
"Agribusiness, Farm & Financial ",18,9,0
"Agribusiness, Farm & Financial ",13,3,0
"Agribusiness, Farm & Financial ",14,0,0
"Agribusiness, Farm & Financial ",34,8,1
"Intl, Resource, Consumer Econ ",15,12,0
"Intl, Resource, Consumer Econ ",3,5,0
"Intl, Resource, Consumer Econ ",12,8,0
Agr & Consumer Economics ,32,24,0
Agr & Consumer Economics ,64,27,0
Agr & Consumer Economics ,17,2,0
Agr & Consumer Economics ,90,46,0
Agr & Consumer Economics ,84,39,0
Agr & Consumer Economics ,15,6,0
Agr & Consumer Economics ,26,14,0
Agr & Consumer Economics ,12,5,0
Animal Sciences ,15,4,0
Animal Sciences ,16,92,0
Animal Sciences ,16,18,0
Animal Sciences ,88,289,1
Food Science & Human Nutrition ,21,40,0
Food Science & Human Nutrition ,12,21,0
Food Science & Human Nutrition ,23,68,0
Food Science & Human Nutrition ,4,84,0
Food Science & Human Nutrition ,25,56,0
Agr & Environmental Cmc & Educ ,2,8,0
Agr & Environmental Cmc & Educ ,0,6,0
Agr & Environmental Cmc & Educ ,8,15,0
Agr & Environmental Cmc & Educ ,11,40,0
Human Development & Family St ,6,116,0
Human Development & Family St ,8,62,0
Crop Sciences ,1,1,0
Crop Sciences ,1,0,0
Crop Sciences ,16,2,0
Crop Sciences ,21,2,0
Crop Sciences ,16,14,0
Crop Sciences ,6,5,0
Natural Resrcs & Environ Sci ,0,1,0
Natural Resrcs & Environ Sci ,1,0,0
Natural Resrcs & Environ Sci ,47,34,1
Natural Resrcs & Environ Sci ,11,4,0
Natural Resrcs & Environ Sci ,10,28,0
Natural Resrcs & Environ Sci ,21,28,0
Natural Resrcs & Environ Sci ,5,6,0
Horticulture ,2,2,0
Horticulture ,34,21,0
Horticulture ,1,1,0
Business Administration (MBA) ,49,15,0
Finance ,0,1,0
Finance ,64,55,0
Accountancy ,87,69,2
Accountancy ,2,0,0
Accountancy ,5,6,3
Accountancy ,33,45,0
Accountancy ,18,12,0
Business Administration ,75,150,1
Business Administration ,28,39,0
Business Administration ,1,0,0
Business Administration ,11,3,0
Business Administration ,9,3,0
Business Administration ,30,8,0
Business Administration ,35,17,0
Management ,0,1,0
Business Administration ,37,10,0
Business Administration (MBA) ,83,18,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,4,0
Early Childhood Education ,0,16,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,9,1
Early Childhood Education ,0,6,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,16,0
Elementary Education ,0,1,0
Elementary Education ,0,2,0
Elementary Education ,1,0,0
Elementary Education ,0,1,0
Elementary Education ,2,13,0
Elementary Education ,1,57,0
Elementary Education ,9,72,0
Elementary Education ,0,1,0
Elementary Education ,4,34,0
Elementary Education ,1,9,0
Elementary Education ,0,1,0
Elementary Education ,0,4,0
Elementary Education ,0,1,0
Elementary Education ,2,51,0
Elementary Education ,1,11,0
Secondary & Continuing Educ ,1,3,0
Secondary & Continuing Educ ,3,1,0
Secondary & Continuing Educ ,5,4,0
Secondary & Continuing Educ ,2,5,0
Early Childhood Education ,0,1,0
Industrial Engineering ,1,0,0
Computer Science ,3,1,0
Computer Science ,5,0,0
Bioinformatics ,2,2,0
Mechanical Engineering ,6,0,0
Mechanical Engineering ,12,1,0
Materials Science & Engr ,1,0,0
Music Education ,25,33,0
Music Education ,81,77,0
Music Education ,1,4,0
Crafts ,2,7,0
Crafts ,0,1,0
Crafts ,3,9,0
Art and Design ,0,1,0
Art and Design ,2,4,0
Art and Design ,1,5,0
Art and Design ,5,4,0
Art and Design ,3,2,0
Art and Design ,4,2,0
Architecture ,1,2,0
Architecture ,95,54,0
Architecture ,22,17,0
Theatre ,6,5,0
Theatre ,1,1,0
Theatre ,2,5,0
Theatre ,4,12,0
Theatre ,3,0,0
Theatre ,12,10,0
Theatre ,3,0,0
Theatre ,4,0,0
Theatre ,1,0,0
Theatre ,1,4,0
Theatre ,14,23,0
Theatre ,6,4,0
Theatre ,18,28,0
Anthropology ,1,4,0
Mathematics ,1,1,0
Mathematics ,2,0,0
Mathematics ,1,0,0
Mathematics ,18,42,0
Applied Mathematics ,5,7,0
Integrative Biology ,14,18,0
Biology ,3,1,0
Biology ,6,7,0
Biology ,11,19,0
Biology ,8,7,0
Biology ,0,1,0
Biology ,6,20,0
Economics ,58,34,0
Chemistry ,0,1,0
Chemistry ,5,6,0
History ,52,43,0
Religious Studies ,1,0,0
Religious Studies ,1,0,0
Religious Studies ,1,0,0
Religious Studies ,2,1,0
Religious Studies ,1,0,0
Religious Studies ,0,1,0
English ,20,72,0
Rhetoric ,32,36,0
Rhetoric ,0,1,0
Rhetoric ,1,1,0
Classics ,1,2,0
Classics ,5,5,0
Interdisciplinary ,14,7,0
Interdisciplinary ,1,15,0
Physics ,2,2,0
Statistics ,1,2,0
Geology ,0,1,0
Geology ,2,2,0
Geology ,5,2,0
Chemical Engineering ,4,0,0
Comparative Literature ,1,4,0
Geography ,1,0,0
Geography ,4,0,0
Germanic Lang & Lit ,4,2,0
Germanic Lang & Lit ,2,0,0
Germanic Lang & Lit ,1,0,0
Germanic Lang & Lit ,1,1,0
French ,4,4,0
French ,1,4,0
French ,1,0,0
Community Health ,14,103,0
Community Health ,53,134,0
Community Health ,7,37,0
Kinesiology ,7,20,0
Kinesiology ,20,15,0
Speech & Hearing Science ,0,1,0
Speech & Hearing Science ,1,8,0
Speech & Hearing Science ,7,167,0
Leisure Studies ,2,0,0
Leisure Studies ,0,2,0
Leisure Studies ,9,2,0
"Recreation, Sport, and Tourism ",25,22,0
"Recreation, Sport, and Tourism ",11,41,0
"Recreation, Sport, and Tourism ",115,29,0
VMS-Veterinary Clinical Medcne ,0,1,0
VMS - Veterinary Biosciences ,1,0,0
Library & Information Science ,0,8,0
Library & Information Science ,0,1,0
"Agribusiness, Farm & Financial ",6,4,0
"Agribusiness, Farm & Financial ",4,0,0
"Agribusiness, Farm & Financial ",4,0,0
"Agribusiness, Farm & Financial ",12,1,0
"Intl, Resource, Consumer Econ ",6,2,0
"Intl, Resource, Consumer Econ ",1,3,0
"Intl, Resource, Consumer Econ ",6,2,0
Agr & Consumer Economics ,36,22,0
Agr & Consumer Economics ,66,37,0
Agr & Consumer Economics ,25,2,0
Agr & Consumer Economics ,108,59,0
Agr & Consumer Economics ,92,32,1
Agr & Consumer Economics ,16,10,0
Agr & Consumer Economics ,1,0,0
Agr & Consumer Economics ,15,10,0
Agr & Consumer Economics ,25,20,0
Agr & Consumer Economics ,39,9,0
Animal Sciences ,12,7,0
Animal Sciences ,12,82,0
Animal Sciences ,17,16,0
Animal Sciences ,75,319,1
Food Science & Human Nutrition ,27,50,0
Food Science & Human Nutrition ,7,17,0
Food Science & Human Nutrition ,23,66,0
Food Science & Human Nutrition ,1,68,0
Food Science & Human Nutrition ,17,60,0
Agr & Environmental Cmc & Educ ,1,4,0
Agr & Environmental Cmc & Educ ,0,4,0
Agr & Environmental Cmc & Educ ,5,15,0
Agr & Environmental Cmc & Educ ,9,35,0
Human Development & Family St ,6,148,0
Human Development & Family St ,3,54,0
Crop Sciences ,2,0,0
Crop Sciences ,13,4,0
Crop Sciences ,22,1,0
Crop Sciences ,13,12,0
Crop Sciences ,4,5,0
Bioinformatics ,1,0,0
Natural Resrcs & Environ Sci ,0,1,0
Natural Resrcs & Environ Sci ,33,26,1
Natural Resrcs & Environ Sci ,13,4,0
Natural Resrcs & Environ Sci ,17,29,0
Natural Resrcs & Environ Sci ,19,23,0
Natural Resrcs & Environ Sci ,5,6,0
Horticulture ,2,3,0
Horticulture ,33,18,0
Business Administration (MBA) ,49,18,0
Finance ,74,33,0
Accountancy ,85,69,0
Accountancy ,1,0,0
Accountancy ,11,14,1
Accountancy ,33,71,0
Accountancy ,18,14,0
Business Administration ,38,75,0
Business Administration ,13,23,0
Business Administration ,3,1,0
Business Administration ,10,3,0
Business Administration ,27,12,0
Business Administration ,1,0,0
Management ,7,4,0
Management ,2,4,0
Management ,11,16,0
Management ,1,2,0
Management ,17,14,0
Management ,3,3,0
Business Administration (MBA) ,69,18,3
Early Childhood Education ,0,2,0
Early Childhood Education ,1,3,0
Early Childhood Education ,0,11,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,7,0
Early Childhood Education ,0,11,1
Early Childhood Education ,0,3,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,13,0
Elementary Education ,1,2,0
Elementary Education ,1,1,0
Elementary Education ,0,1,0
Elementary Education ,3,11,0
Elementary Education ,2,57,0
Elementary Education ,4,76,0
Elementary Education ,1,1,0
Elementary Education ,2,40,0
Elementary Education ,0,6,0
Elementary Education ,0,1,0
Elementary Education ,1,3,0
Elementary Education ,0,1,0
Elementary Education ,1,43,0
Elementary Education ,3,10,0
Secondary & Continuing Educ ,1,6,0
Secondary & Continuing Educ ,3,1,0
Secondary & Continuing Educ ,3,1,0
Secondary & Continuing Educ ,2,1,0
Agricultural Engineering ,1,0,0
Computer Science ,3,0,0
Computer Science ,3,1,0
Mechanical Engineering ,14,1,0
Mechanical Engineering ,13,0,0
Materials Science & Engr ,2,1,0
Materials Science & Engr ,8,0,0
Materials Science & Engr ,4,1,0
Materials Science & Engr ,10,3,0
Materials Science & Engr ,4,0,0
Materials Science & Engr ,1,0,0
Nuclear Engineering ,20,2,0
Nuclear Engineering ,8,0,0
Nuclear Engineering ,9,3,0
Music ,6,5,0
Music ,43,82,0
Music ,9,7,0
Music ,3,4,0
Music ,17,0,0
Music Education ,26,34,0
Music Education ,90,84,0
Music Education ,1,3,0
Music ,19,21,0
Music ,4,0,0
Music ,1,0,0
Music ,2,4,0
Music ,0,3,0
Music ,1,0,0
Music ,1,0,0
Music ,0,1,0
Music ,5,1,0
Crafts ,3,6,0
Crafts ,2,9,0
Art and Design ,2,2,0
Art and Design ,3,5,0
Art and Design ,0,6,0
Art and Design ,3,3,0
Art and Design ,2,3,0
Art and Design ,3,0,0
Landscape Architecture ,7,8,0
Architecture ,97,54,0
Architecture ,16,11,0
Theatre ,2,5,0
Theatre ,7,12,0
Theatre ,2,0,0
Theatre ,16,17,0
Theatre ,0,2,0
Theatre ,3,0,0
Theatre ,5,0,0
Theatre ,2,0,0
Theatre ,2,5,0
Theatre ,13,25,0
Theatre ,5,4,0
Theatre ,16,29,0
Anthropology ,1,4,0
Mathematics ,1,0,0
Mathematics ,1,0,0
Mathematics ,3,2,0
Mathematics ,23,42,0
Mathematics ,0,1,0
Applied Mathematics ,5,11,0
"Earth Systems, Env, & Society ",11,7,0
"Earth Systems, Env, & Society ",4,0,0
Integrative Biology ,19,27,0
Biology ,1,0,0
Biology ,7,7,0
Biology ,4,8,0
Biology ,8,5,0
Biology ,8,7,0
Economics ,55,33,0
Chemistry ,9,4,0
Molecular and Cellular Biology ,20,31,0
History ,57,37,0
Religious Studies ,1,1,0
Religious Studies ,0,1,0
Religious Studies ,1,0,0
Religious Studies ,1,1,0
Religious Studies ,1,0,0
English ,19,73,0
English ,2,0,0
Rhetoric ,56,48,0
