Term,Major,Concentration,Total,Male,Female,Neutral
120048,Art and Design ,Graphic Design ,8,2,6,0
120048,Art and Design ,Industrial Design ,5,4,1,0
120048,Art and Design ,Metals ,4,1,3,0
120048,Art and Design ,Painting ,9,5,4,0
120048,Art and Design ,Photography ,6,2,4,0
120048,Art and Design ,Sculpture ,6,4,2,0
120048,Architecture ,Architecture - 1yr ,3,1,2,0
120048,Architecture ,Architecture - 2 Yr ,147,99,48,0
120048,Architecture ,Architecture Track 3 ,45,22,23,0
120048,Theatre ,Professional Studio in Acting ,72,31,41,0
120048,Theatre ,Design and Technology ,12,7,5,0
120048,Theatre ,Costume Design &Constrctn ,3,0,3,0
120048,Theatre ,Scene Design ,1,0,1,0
120048,Theatre ,Stage Management ,8,3,5,0
120048,Theatre ,Theatre Studies ,28,12,16,0
120048,Theatre ,Theatre Technology & Lighting ,17,14,3,0
120048,Theatre ,Design and Technology ,38,19,19,0
120048,Theatre ,Acting ,10,6,4,0
120048,Mathematics ,Operations Research ,1,1,0,0
120048,Mathematics ,Applied Mathematics ,4,3,1,0
120048,Mathematics ,Graduate Preparation ,8,7,1,0
120048,Mathematics ,Mathematics Teaching Option ,28,13,15,0
120048,Applied Mathematics ,Actuarial Science ,21,7,14,0
120048,Biology ,Ecology & Evolutionary Biology ,7,4,3,0
120048,Biology ,"Ecology, Ethology, Evolution ",5,4,1,0
120048,Biology ,Ecology & Evolutionary Biology ,32,16,16,0
120048,Biology ,Physiol & Molec Plant Biology ,20,9,11,0
120048,Biology ,Biology-Honors ,63,28,35,0
120048,Biology ,Biology Teacher Educ Option ,4,3,1,0
120048,Economics ,Policy Economics ,100,73,27,0
120048,History ,Teaching of Social Studies ,45,23,22,0
120048,Religious Studies ,Judaica ,1,0,1,0
120048,Religious Studies ,Religion and Culture ,2,1,1,0
120048,Religious Studies ,Asian Religions ,1,0,1,0
120048,English ,English Teaching Option ,47,5,42,0
120048,Rhetoric ,Creative Writing ,19,9,10,0
120048,Rhetoric ,Professional Writing ,6,3,3,0
120048,Classics ,Classical Archaeology ,1,0,1,0
120048,Classics ,Classical Civilization ,3,2,1,0
120048,Interdisciplinary ,Medieval Civilization ,1,1,0,0
120048,Interdisciplinary ,Cinema Studies ,9,4,5,0
120048,Interdisciplinary ,Gender and Women's Studies ,3,0,3,0
120048,Physics ,Physics Teaching Option ,2,1,1,0
120048,Statistics ,Applied ,4,1,3,0
120048,Geology ,Geophysics ,1,0,1,0
120048,Geology ,Teaching of Earth Science ,1,1,0,0
120048,Geology ,Earth & Environmental Sciences ,3,3,0,0
120048,Geography ,Human Geography ,4,2,2,0
120048,Germanic Lang & Lit ,German and Commercial Studies ,1,0,1,0
120048,Germanic Lang & Lit ,Language and Literature ,1,0,1,0
120048,Germanic Lang & Lit ,Language Studies ,2,1,1,0
120048,Germanic Lang & Lit ,Modern German Studies ,2,0,2,0
120048,French ,French Commercial Studies ,5,1,4,0
120048,French ,French Studies ,2,0,2,0
120048,Kinesiology ,"Teacher Ed - K-12, 6-12 ",33,19,14,0
120048,Kinesiology ,Athletic Training ,36,9,27,0
120048,Leisure Studies ,Recreation Management ,21,8,13,0
120048,Leisure Studies ,Tourism Management ,31,5,26,0
120048,Leisure Studies ,Park & Natural Resource Mgmt ,2,0,2,0
120048,Leisure Studies ,Sports Management ,142,108,34,0
120048,Community Health ,Health Education ,57,4,53,0
120048,Community Health ,Health Planning & Admin ,138,32,106,0
120048,Community Health ,Rehab & Disability Studies ,23,4,19,0
120048,Library & Information Science ,Library & Info Sci - MS/F ,39,7,32,0
120048,Library & Information Science ,Library & Info Sci - Summer ,7,2,5,0
120048,Library & Information Science ,Library & Info Sci - Media ,6,1,5,0
120058,"Agribusiness, Farm & Financial ",Agri-Accounting ,82,49,33,0
120058,"Agribusiness, Farm & Financial ",Agri-Finance ,67,50,17,0
120058,"Agribusiness, Farm & Financial ",Farm Management ,40,36,3,1
120058,"Agribusiness, Farm & Financial ",Agribusiness Markets & Mgmt ,128,97,30,1
120058,"Intl, Resource, Consumer Econ ",Consumer Economics & Finance ,104,67,37,0
120058,"Intl, Resource, Consumer Econ ",Env & Natural Resource Mgmt ,16,7,9,0
120058,"Intl, Resource, Consumer Econ ",Individually Planned Curricula ,1,1,0,0
120058,"Intl, Resource, Consumer Econ ","Policy, Intl Trade, & Dvlpmt ",53,30,23,0
120058,Animal Sciences ,Science ,1,0,1,0
120058,Animal Sciences ,Animal Business Mgt and Ind ,23,14,9,0
120058,Animal Sciences ,"Companion,Rec,Lab An Sci ",115,17,98,0
120058,Animal Sciences ,Food Animal Science ,26,11,15,0
120058,Animal Sciences ,"Science, Biotech & Pre-VetMed ",342,84,258,0
120058,Food Science & Human Nutrition ,Food Science ,54,22,32,0
120058,Food Science & Human Nutrition ,Food Industry and Business ,37,20,17,0
120058,Food Science & Human Nutrition ,Human Nutrition ,90,20,70,0
120058,Food Science & Human Nutrition ,Dietetics ,107,1,106,0
120058,Food Science & Human Nutrition ,Hospitality Management ,106,36,70,0
120058,Technical Systems Management ,Production Systems ,4,4,0,0
120058,Technical Systems Management ,Environmental Systems ,1,1,0,0
120058,Technical Systems Management ,"Mech, Mrktg & Tech Mgt Sys ",31,29,2,0
120058,Agr & Environmental Cmc & Educ ,Agricultural Communications ,52,10,42,0
120058,Agr & Environmental Cmc & Educ ,Environ Educ & Communications ,9,3,6,0
120058,Agr & Environmental Cmc & Educ ,Agricultural Leadership ,11,5,6,0
120058,Agr & Environmental Cmc & Educ ,Agricultural Education ,31,12,19,0
120058,Human Development & Family St ,Child and Adolescent Dev ,148,5,143,0
120058,Human Development & Family St ,Family Studies ,68,8,59,1
120058,Crop Sciences ,Agroecology ,2,2,0,0
120058,Crop Sciences ,Crops ,24,20,4,0
120058,Crop Sciences ,Crop Agribusiness ,29,28,1,0
120058,Crop Sciences ,Plant Biotech & Molecular Bio ,27,15,11,1
120058,Crop Sciences ,Biological Sciences ,12,4,8,0
120058,Forestry ,Urban Forestry ,1,1,0,0
120058,Natural Resrcs & Environ Sci ,Biological Sciences ,10,7,3,0
120058,Natural Resrcs & Environ Sci ,Social Science ,6,2,4,0
120058,Natural Resrcs & Environ Sci ,Environmental Soil & Water Sci ,2,0,2,0
120058,Natural Resrcs & Environ Sci ,Fish and Wildlife Conservation ,73,54,19,0
120058,Natural Resrcs & Environ Sci ,Forest Science ,18,16,2,0
120058,Natural Resrcs & Environ Sci ,Human Dimensions ,31,10,21,0
120058,Natural Resrcs & Environ Sci ,Resource Ecology ,44,27,17,0
120058,Natural Resrcs & Environ Sci ,Soil and Water Science ,12,6,6,0
120058,Horticulture ,Horticulture Science ,12,10,2,0
120058,Horticulture ,Production and Management ,54,34,20,0
120058,Horticulture ,Urban Forestry ,6,4,2,0
120058,Finance ,"Bus Finance, Inv & Fin Inst ",796,567,228,1
120058,Finance ,International Program ,75,39,34,2
120058,Accountancy ,Accountancy (BS/Master Prg) ,85,42,43,0
120058,Accountancy ,Tax ,36,18,18,0
120058,Accountancy ,Tax ,20,10,9,1
120058,Accountancy ,International Program ,80,30,50,0
120058,Accountancy ,Accountancy Postb ,56,26,30,0
120058,Business Administration ,Marketing ,453,179,274,0
120058,Business Administration ,Organizational Administration ,98,40,58,0
120058,Business Administration ,Production ,2,1,1,0
120058,Business Administration ,Management Science ,62,40,22,0
120058,Business Administration ,Industrial Distribution Mgt ,28,21,7,0
120058,Business Administration ,Management Info Systems ,84,59,25,0
120058,Business Administration ,Entrepreneurship ,114,86,28,0
120058,Business Administration ,Food and Agribusiness Mgt ,3,2,1,0
120058,Business Administration ,International Managers Program ,14,10,4,0
120058,Business Administration ,Technology Mangement ,41,25,16,0
120058,Business Administration (MBA) ,Executive Program ,56,44,12,0
120058,Early Childhood Education ,ECh: Earth Science ,2,0,2,0
120058,Early Childhood Education ,ECh: Geography ,1,0,1,0
120058,Early Childhood Education ,ECh: History ,3,0,3,0
120058,Early Childhood Education ,ECh: Language arts ,14,0,14,0
120058,Early Childhood Education ,ECh: Mathematics ,7,1,6,0
120058,Early Childhood Education ,ECh: Music ,1,0,1,0
120058,Early Childhood Education ,ECh: Psychology ,18,1,17,0
120058,Early Childhood Education ,ECh: Sociology ,3,0,3,0
120058,Early Childhood Education ,ECh: Italian ,1,0,1,0
120058,Early Childhood Education ,ECh: Spanish ,8,0,8,0
120058,Elementary Education ,EIEd: Biology ,3,1,2,0
120058,Elementary Education ,EIEd: Chemisty ,1,1,0,0
120058,Elementary Education ,EIEd: Dance ,1,0,1,0
120058,Elementary Education ,EIEd: Earth Science ,4,0,4,0
120058,Elementary Education ,EIEd: Geography ,5,3,2,0
120058,Elementary Education ,EIEd: History ,19,3,16,0
120058,Elementary Education ,EIEd: Language Arts ,58,1,57,0
120058,Elementary Education ,EIEd: Mathematics ,94,6,88,0
120058,Elementary Education ,EIEd: Political Science ,1,0,1,0
120058,Elementary Education ,ElEd: Psychology ,41,2,39,0
120058,Elementary Education ,ElEd: Sociology ,16,1,15,0
120058,Elementary Education ,EIEd: French ,4,0,4,0
120058,Elementary Education ,EIEd: Spanish ,55,2,53,0
120058,Early Childhood Education ,Teacher Certification ,2,0,2,0
120058,Elementary Education ,Elementary Ed - Cert ,15,4,11,0
120058,Education ,Elementary & Early Childhd Ed ,1,1,0,0
120058,Secondary & Continuing Educ ,English Certification ,5,2,3,0
120058,Secondary & Continuing Educ ,Social Studies Certification ,7,5,2,0
120058,Secondary & Continuing Educ ,Sciences Certification ,11,5,6,0
120058,Secondary & Continuing Educ ,Mathematics Certification ,7,5,2,0
120058,Education ,Educational Psychology ,1,0,1,0
120058,Education ,Educ Organization & Ldrshp ,1,0,1,0
120058,Education ,Educ Organization & Ldrshp ,1,1,0,0
120058,Education ,Educ Organization & Ldrshp ,1,0,1,0
120058,Education ,Vocational & Tech Educ ,1,0,1,0
120058,Computer Science ,CS:BS/MS Program ,6,6,0,0
120058,Computer Science ,CS:BS/MS Program ,10,9,1,0
120058,Mechanical Engineering ,BS/MS Mechanical Engineering ,10,9,1,0
120058,Mechanical Engineering ,BS/MS Mechanical Engineering ,6,5,1,0
120058,Music Education ,Choral Music ,61,19,42,0
120058,Music Education ,Instrumental Music ,135,62,73,0
120058,Music Education ,Elementary General Music ,4,1,3,0
120058,Crafts ,Ceramics ,9,3,6,0
120058,Crafts ,Glass ,4,2,2,0
120058,Crafts ,Metals ,9,2,7,0
120058,Art and Design ,Graphic Design ,6,0,6,0
120058,Art and Design ,Industrial Design ,6,5,1,0
120058,Art and Design ,Metals ,6,2,4,0
120058,Art and Design ,Painting ,11,7,4,0
120058,Art and Design ,Photography ,5,3,2,0
120058,Art and Design ,Sculpture ,6,3,3,0
120058,Architecture ,Architecture - 1yr ,2,2,0,0
120058,Architecture ,Architecture - 2 Yr ,148,86,62,0
120058,Architecture ,Architecture Track 3 ,40,20,19,1
120058,Theatre ,Professional Studio in Acting ,66,27,39,0
120058,Theatre ,Design and Technology ,17,9,8,0
120058,Theatre ,Costume Design &Constrctn ,4,1,3,0
120058,Theatre ,Scene Design ,3,2,1,0
120058,Theatre ,Stage Management ,9,4,5,0
120058,Theatre ,Theatre Studies ,26,10,16,0
120058,Theatre ,Theatre Technology & Lighting ,18,14,4,0
120058,Theatre ,Design and Technology ,32,15,17,0
120058,Theatre ,Acting ,10,6,4,0
120058,Mathematics ,Operations Research ,1,1,0,0
120058,Mathematics ,Applied Mathematics ,4,4,0,0
120058,Mathematics ,Applied Mathematics ,3,3,0,0
120058,Mathematics ,Graduate Preparation ,5,4,1,0
120058,Mathematics ,Mathematics Teaching Option ,61,23,38,0
120058,Applied Mathematics ,Actuarial Science ,28,11,17,0
120058,Biology ,Ecology & Evolutionary Biology ,4,2,2,0
120058,Biology ,"Ecology, Ethology, Evolution ",7,4,3,0
120058,Biology ,Ecology & Evolutionary Biology ,32,18,14,0
120058,Biology ,Physiol & Molec Plant Biology ,19,10,9,0
120058,Biology ,Biology-Honors ,21,10,11,0
120058,Biology ,Biology-Honors ,4,2,2,0
120058,Biology ,Biology Teacher Educ Option ,9,6,3,0
120058,Biology ,Biological Sciences ,1,0,1,0
120058,Economics ,Policy Economics ,102,76,26,0
120058,Chemistry ,Chemistry Teaching Option ,10,4,6,0
120058,History ,Teaching of Social Studies ,78,36,42,0
120058,Speech Communication ,Interpretation ,1,1,0,0
120058,Religious Studies ,Judaica ,1,1,0,0
120058,Religious Studies ,Philosophy of Religion ,1,1,0,0
120058,Religious Studies ,Religion and Culture ,4,1,3,0
120058,English ,English Teaching Option ,90,15,75,0
120058,English ,English Teaching Option ,1,0,1,0
120058,Rhetoric ,Creative Writing ,39,23,16,0
120058,Rhetoric ,Creative Writing ,4,3,1,0
120058,Rhetoric ,Professional Writing ,11,5,6,0
120058,Classics ,Latin ,2,1,1,0
120058,Classics ,Classical Archaeology ,4,1,3,0
120058,Classics ,Classical Civilization ,5,2,3,0
120058,Interdisciplinary ,American Civilization ,4,1,3,0
120058,Interdisciplinary ,Cinema Studies ,20,12,8,0
120058,Interdisciplinary ,Cinema Studies ,4,3,1,0
120058,Interdisciplinary ,Gender and Women's Studies ,4,0,4,0
120058,Physics ,Physics Teaching Option ,5,2,3,0
120058,Statistics ,Economic Statistics ,1,1,0,0
120058,Statistics ,Applied ,1,0,1,0
120058,Geology ,Geophysics ,1,1,0,0
120058,Geology ,Environmental Geology ,1,0,1,0
120058,Geology ,Teaching of Earth Science ,5,1,4,0
120058,Geology ,Earth & Environmental Sciences ,6,4,2,0
120058,Comparative Literature ,World Literature ,6,1,5,0
120058,Geography ,Human Geography ,1,1,0,0
120058,Geography ,Geographic Information Science ,2,2,0,0
120058,Germanic Lang & Lit ,German and Commercial Studies ,2,2,0,0
120058,Germanic Lang & Lit ,Language Studies ,1,0,1,0
120058,Germanic Lang & Lit ,Modern German Studies ,3,1,2,0
120058,French ,French Commercial Studies ,7,3,4,0
120058,French ,French Studies ,3,0,3,0
120058,Kinesiology ,"Teacher Ed - K-12, 6-12 ",2,0,2,0
120058,Kinesiology ,Athletic Training ,44,16,28,0
120058,Kinesiology ,Teacher Education K-12 ,30,21,9,0
120058,Speech & Hearing Science ,Human Communication Science ,7,0,7,0
120058,Speech & Hearing Science ,Audiology ,21,2,19,0
120058,Speech & Hearing Science ,Speech-Language Pathology ,142,1,141,0
120058,Leisure Studies ,Recreation Management ,39,14,25,0
120058,Leisure Studies ,Tourism Management ,40,9,31,0
120058,Leisure Studies ,Park & Natural Resource Mgmt ,1,1,0,0
120058,Leisure Studies ,Sports Management ,167,129,37,1
120058,Leisure Studies ,Tourism Management ,1,0,1,0
120058,"Recreation, Sport, and Tourism ",Sports Management ,5,5,0,0
120058,Community Health ,Health Education ,87,9,78,0
120058,Community Health ,Health Planning & Admin ,194,47,147,0
120058,Community Health ,Rehab & Disability Studies ,32,5,27,0
120058,Library & Information Science ,Library & Info Sci - MS/F ,5,0,5,0
120058,Library & Information Science ,Library & Info Sci - Media ,13,1,12,0
120068,"Agribusiness, Farm & Financial ",Agri-Accounting ,58,39,19,0
120068,"Agribusiness, Farm & Financial ",Agri-Finance ,52,40,12,0
120068,"Agribusiness, Farm & Financial ",Farm Management ,21,21,0,0
120068,"Agribusiness, Farm & Financial ",Agribusiness Markets & Mgmt ,77,58,18,1
120068,"Intl, Resource, Consumer Econ ",Consumer Economics & Finance ,68,44,24,0
120068,"Intl, Resource, Consumer Econ ",Env & Natural Resource Mgmt ,12,4,8,0
120068,"Intl, Resource, Consumer Econ ","Policy, Intl Trade, & Dvlpmt ",36,20,16,0
120068,Agr & Consumer Economics ,Agri-Accounting ,27,16,11,0
120068,Agr & Consumer Economics ,Agri-Finance ,42,26,16,0
120068,Agr & Consumer Economics ,Farm Management ,15,13,2,0
120068,Agr & Consumer Economics ,Agribusiness Markets & Mgmt ,69,41,28,0
120068,Agr & Consumer Economics ,Consumer Economics & Finance ,55,36,19,0
120068,Agr & Consumer Economics ,Envirnmntal Economics & Policy ,17,9,8,0
120068,Agr & Consumer Economics ,"Policy, Intl Trade, & Dvlpmt ",24,12,12,0
120068,Agr & Consumer Economics ,Public Policy and Law ,1,1,0,0
120068,Animal Sciences ,Animal Business Mgt and Ind ,21,16,5,0
120068,Animal Sciences ,"Companion,Rec,Lab An Sci ",117,19,98,0
120068,Animal Sciences ,Food Animal Science ,34,15,19,0
120068,Animal Sciences ,"Science, Biotech & Pre-VetMed ",354,92,261,1
120068,Food Science & Human Nutrition ,Food Science ,53,17,36,0
120068,Food Science & Human Nutrition ,Food Industry and Business ,34,13,21,0
120068,Food Science & Human Nutrition ,Human Nutrition ,98,24,74,0
120068,Food Science & Human Nutrition ,Dietetics ,96,4,92,0
120068,Food Science & Human Nutrition ,Hospitality Management ,88,34,54,0
120068,Technical Systems Management ,"Mech, Mrktg & Tech Mgt Sys ",1,0,1,0
120068,Agr & Environmental Cmc & Educ ,Agricultural Communications ,34,9,25,0
120068,Agr & Environmental Cmc & Educ ,Environ Educ & Communications ,2,0,2,0
120068,Agr & Environmental Cmc & Educ ,Agricultural Leadership ,8,2,6,0
120068,Agr & Environmental Cmc & Educ ,Agricultural Education ,23,8,15,0
120068,Agr & Environmental Cmc & Educ ,"Agr, Cons, Env Sci Communictn ",31,5,26,0
120068,Human Development & Family St ,Child and Adolescent Dev ,142,8,134,0
120068,Human Development & Family St ,Family Studies ,80,12,68,0
120068,Crop Sciences ,Agroecology ,2,1,1,0
120068,Crop Sciences ,Plant Protection ,2,2,0,0
120068,Crop Sciences ,Crops ,17,15,2,0
120068,Crop Sciences ,Crop Agribusiness ,26,23,3,0
120068,Crop Sciences ,Plant Biotech & Molecular Bio ,32,20,12,0
120068,Crop Sciences ,Biological Sciences ,20,11,9,0
120068,Natural Resrcs & Environ Sci ,Biological Sciences ,4,3,1,0
120068,Natural Resrcs & Environ Sci ,Social Science ,2,2,0,0
120068,Natural Resrcs & Environ Sci ,Environmental Soil & Water Sci ,1,0,1,0
120068,Natural Resrcs & Environ Sci ,Fish and Wildlife Conservation ,80,56,24,0
120068,Natural Resrcs & Environ Sci ,Forest Science ,14,10,4,0
120068,Natural Resrcs & Environ Sci ,Human Dimensions ,42,12,30,0
120068,Natural Resrcs & Environ Sci ,Resource Ecology ,56,32,24,0
120068,Natural Resrcs & Environ Sci ,Soil and Water Science ,12,6,6,0
120068,Horticulture ,Horticulture Science ,4,4,0,0
120068,Horticulture ,Production and Management ,64,40,24,0
120068,Horticulture ,Urban Forestry ,4,3,1,0
120068,Business Administration (MBA) ,International Program ,1,1,0,0
120068,Business Administration (MBA) ,MBA ,20,14,6,0
120068,Finance ,"Bus Finance, Inv & Fin Inst ",55,37,18,0
120068,Finance ,International Program ,123,77,46,0
120068,Accountancy ,Accountancy (BS/Master Prg) ,125,60,65,0
120068,Accountancy ,Tax ,51,25,26,0
120068,Accountancy ,Tax ,1,0,1,0
120068,Accountancy ,International Program ,84,33,51,0
120068,Accountancy ,Accountancy Postb ,40,30,10,0
120068,Business Administration ,Marketing ,369,125,244,0
120068,Business Administration ,Organizational Administration ,76,32,44,0
120068,Business Administration ,Production ,2,1,1,0
120068,Business Administration ,Management Science ,28,21,7,0
120068,Business Administration ,Industrial Distribution Mgt ,20,17,3,0
120068,Business Administration ,Management Info Systems ,59,42,17,0
120068,Business Administration ,Entrepreneurship ,91,70,21,0
120068,Business Administration ,Food and Agribusiness Mgt ,1,1,0,0
120068,Business Administration ,Technology Mangement ,52,44,8,0
120068,Business Administration (MBA) ,Executive Program ,94,77,16,1
120068,Early Childhood Education ,ECh: Anthropology ,1,0,1,0
120068,Early Childhood Education ,ECh: Earth Science ,1,0,1,0
120068,Early Childhood Education ,ECh: History ,4,0,4,0
120068,Early Childhood Education ,ECh: Language arts ,14,0,14,0
120068,Early Childhood Education ,ECh: Mathematics ,3,0,3,0
120068,Early Childhood Education ,ECh: Psychology ,13,0,13,0
120068,Early Childhood Education ,ECh: Sociology ,4,0,4,0
120068,Early Childhood Education ,ECh: French ,1,0,1,0
120068,Early Childhood Education ,ECh: Spanish ,11,0,11,0
120068,Elementary Education ,EIEd: Anthropology ,1,0,1,0
120068,Elementary Education ,EIEd: Art ,2,0,2,0
120068,Elementary Education ,EIEd: Biology ,1,0,1,0
120068,Elementary Education ,EIEd: Earth Science ,3,0,3,0
120068,Elementary Education ,EIEd: Economics ,1,1,0,0
120068,Elementary Education ,EIEd: History ,19,2,17,0
120068,Elementary Education ,EIEd: Language Arts ,52,0,51,1
120068,Elementary Education ,EIEd: Mathematics ,105,9,96,0
120068,Elementary Education ,EIEd: Music ,1,0,1,0
120068,Elementary Education ,EIEd: Political Science ,1,0,1,0
120068,Elementary Education ,ElEd: Psychology ,39,4,35,0
120068,Elementary Education ,ElEd: Sociology ,14,0,14,0
120068,Elementary Education ,EIEd: French ,6,0,6,0
120068,Elementary Education ,EIEd: Spanish ,54,2,52,0
120068,Elementary Education ,Elementary Ed - Cert ,11,2,9,0
120068,Secondary & Continuing Educ ,English Certification ,4,1,3,0
120068,Secondary & Continuing Educ ,Social Studies Certification ,6,5,1,0
120068,Secondary & Continuing Educ ,Sciences Certification ,11,5,6,0
120068,Secondary & Continuing Educ ,Mathematics Certification ,6,1,5,0
120068,Early Childhood Education ,Teacher Certification ,1,0,1,0
120068,Education ,Educ Organization & Ldrshp ,1,1,0,0
